date image,date_climwin,NOW,FIA,,
1/9/2002,09/01/2002,64.6249,22263.5,,
1/10/2002,10/01/2002,52.4858,21478.5,,
1/11/2002,11/01/2002,45.3708,18361.2,,
1/5/2003,05/01/2003,9.59505,13224.8,,
1/6/2003,06/01/2003,58.0954,23252.7,,
1/7/2003,07/01/2003,43.2965,18418.7,,
1/8/2003,08/01/2003,57.1224,22103.6,,
1/9/2003,09/01/2003,63.1241,23910,,
1/10/2003,10/01/2003,66.1843,24709.7,,
1/11/2003,11/01/2003,65.3994,22800.2,,
1/5/2004,05/01/2004,44.4676,18901.5,,
1/6/2004,06/01/2004,31.5885,24715.3,,
1/7/2004,07/01/2004,11.4944,16489.7,,
1/8/2004,08/01/2004,50.7114,24155.6,,
1/9/2004,09/01/2004,49.8013,22239.9,,
1/10/2004,10/01/2004,16.3398,24348.3,,
1/11/2004,11/01/2004,18.5519,18902.7,,
1/5/2005,05/01/2005,0.421088,21219.1,,
1/6/2005,06/01/2005,15.5353,13849.5,,
1/7/2005,07/01/2005,13.35,14728.4,,
1/8/2005,08/01/2005,14.8759,11607.1,,
1/9/2005,09/01/2005,83.0312,30708.9,,
1/10/2005,10/01/2005,14.5208,16551.8,,
1/11/2005,11/01/2005,8.12843,8934.81,,
1/5/2006,05/01/2006,0.421088,4836.65,,
1/6/2006,06/01/2006,66.2011,22647.5,,
1/7/2006,07/01/2006,71.6557,26676,,
1/8/2006,08/01/2006,76.5927,28287.4,,
1/9/2006,09/01/2006,72.9893,29432.3,,
1/10/2006,10/01/2006,0.421088,12882.6,,
1/11/2006,11/01/2006,0.421088,9946.94,,
1/5/2007,05/01/2007,6.44052,6536.9,,
1/6/2007,06/01/2007,4.45229,14910,,
1/7/2007,07/01/2007,18.3206,22899,,
1/8/2007,08/01/2007,2.18913,23090,,
1/9/2007,09/01/2007,71.6406,29800.5,,
1/10/2007,10/01/2007,66.2596,28486.2,,
1/11/2007,11/01/2007,56.5217,26341.7,,
1/5/2008,05/01/2008,0.421088,17915.5,,
1/6/2008,06/01/2008,51.1479,22692.2,,
1/7/2008,07/01/2008,79.6192,28235.9,,
1/8/2008,08/01/2008,77.8416,28013.4,,
1/9/2008,09/01/2008,52.5311,24628,,
1/10/2008,10/01/2008,72.3902,27968.9,,
1/11/2008,11/01/2008,47.8219,20272.8,,
1/5/2009,05/01/2009,0.421088,12769.9,,
1/6/2009,06/01/2009,10.416,14223.5,,
1/7/2009,07/01/2009,66.6289,22036.9,,
1/8/2009,08/01/2009,71.5424,24396.3,,
1/9/2009,09/01/2009,64.4009,25236.8,,
1/10/2009,10/01/2009,73.6133,27574.9,,
1/11/2009,11/01/2009,61.7969,27354.2,,
1/5/2010,05/01/2010,2.18913,15625.8,,
1/6/2010,06/01/2010,0.421088,19577.3,,
1/7/2010,07/01/2010,14.1171,24585.7,,
1/8/2010,08/01/2010,19.4779,29014.2,,
1/9/2010,09/01/2010,39.832,31574.6,,
1/10/2010,10/01/2010,13.7874,29515.4,,
1/11/2010,11/01/2010,6.35089,15839.6,,
1/5/2011,05/01/2011,0.421088,11896,,
1/6/2011,06/01/2011,41.0989,26054.7,,
1/7/2011,07/01/2011,28.7961,25360.5,,
1/8/2011,08/01/2011,29.2805,23379.8,,
1/9/2011,09/01/2011,14.7248,26467.3,,
1/10/2011,10/01/2011,10.1038,21604.9,,
1/11/2011,11/01/2011,13.6145,24763.2,,
1/5/2012,05/01/2012,35.8301,25430,,
1/6/2012,06/01/2012,31.3518,27187.8,,
1/7/2012,07/01/2012,16.3108,31447.7,,
1/8/2012,08/01/2012,16.0836,23937.2,,
1/9/2012,09/01/2012,7.05222,26676.7,,
1/10/2012,10/01/2012,11.1681,23570,,
1/11/2012,11/01/2012,11.1681,27493.9,,
1/5/2013,05/01/2013,63.0649,28292.9,,
1/6/2013,06/01/2013,57.1685,32815.1,,
1/7/2013,07/01/2013,43.5086,43012.4,,
1/8/2013,08/01/2013,48.4553,34470.2,,
1/9/2013,09/01/2013,41.3229,30012,,
1/10/2013,10/01/2013,40.3807,37825.7,,
1/11/2013,11/01/2013,81.8524,39614.4,,
1/5/2014,05/01/2014,78.3712,38346.3,,
1/6/2014,06/01/2014,85.1934,38771.1,,
1/7/2014,07/01/2014,75.5168,35178.8,,
1/8/2014,08/01/2014,73.6042,36040.4,,
1/9/2014,09/01/2014,73.6042,38816.5,,
1/10/2014,10/01/2014,73.6042,36897.3,,
1/11/2014,11/01/2014,72.2896,34760.9,,
1/5/2015,05/01/2015,45.5401,30080.1,,
1/6/2015,06/01/2015,16.0989,19164.9,,
1/7/2015,07/01/2015,15.5483,22621.1,,
1/8/2015,08/01/2015,13.6145,25159,,
1/9/2015,09/01/2015,14.3765,21153.7,,
1/10/2015,10/01/2015,13.2479,20786,,
1/11/2015,11/01/2015,12.652,20931.2,,
1/5/2016,05/01/2016,0.421088,26881.4,,
1/6/2016,06/01/2016,69.2687,31405.6,,
1/7/2016,07/01/2016,66.4179,29135.8,,
1/8/2016,08/01/2016,57.1668,35198.1,,
1/9/2016,09/01/2016,73.9504,31917.1,,
1/10/2016,10/01/2016,38.218,36798.4,,
1/11/2016,11/01/2016,83.3912,36088.1,,
1/5/2017,05/01/2017,73.372,27083.5,,
1/6/2017,06/01/2017,72.376,30303.7,,
1/7/2017,07/01/2017,70.4689,28284.6,,
1/8/2017,08/01/2017,69.8319,27503,,
1/9/2017,09/01/2017,50.6111,27974.2,,
1/10/2017,10/01/2017,50.6111,29364.4,,
1/11/2017,11/01/2017,49.7867,26421.2,,
